title,firm,genre,num_of_reviews,price,stars,description_lenght,PEGI
Roblox,Roblox Corporation,Przygodowe,22813303,Zainstaluj,4.4,1678,7
Świat Małej Pandy,BabyBus,Edukacyjne,262463,Zainstaluj,4.3,2907,3
Zombie Catchers 🧟,Deca Games,Akcja,1834617,Zainstaluj,4.4,3106,7
Paint By Number - Darmowa kolorowanka i łamigłówka,Better Life - Color and Draw,Planszowe,1369704,Zainstaluj,4.6,2627,3
Tomb of the Mask,Playgendary Limited,Akcja,1645379,Zainstaluj,4.4,858,3
Mała Panda: Makijaż księżniczki,BabyBus,Edukacyjne,101095,Zainstaluj,4.2,2376,3
Candy Crush Saga,King,Rekreacyjne,31737005,Zainstaluj,4.6,4691,3
Candy Crush Soda Saga,King,Rekreacyjne,8137432,Zainstaluj,4.5,6022,3
Farm Heroes Saga,King,Rekreacyjne,9189486,Zainstaluj,4.6,5160,3
World of Tanks Blitz darmowa online 3D MMO gra,Wargaming Group,Strategie,3741674,Zainstaluj,4.2,2307,7
Homescapes,Playrix,Rekreacyjne,10310143,Zainstaluj,4.3,3530,3
Football Strike - Multiplayer Soccer,Miniclip.com,Sport,1981935,Zainstaluj,4.4,2799,3
Gry samochodowe dla dzieci - budowa domu myjnia,GoKids!,Edukacyjne,159617,Zainstaluj,4.0,3515,3
Talking Tom Hero Dash - Run Game,Outfit7 Limited,Akcja,1032984,Zainstaluj,4.3,7319,7
Fishdom,Playrix,Łamigłówki,4977735,Zainstaluj,4.3,2815,3
Gardenscapes,Playrix,Rekreacyjne,10835341,Zainstaluj,4.3,2704,3
Worms Zone .io – Żarłoczny wąż,CASUAL AZUR GAMES,Akcja,2195951,Zainstaluj,4.3,1336,3
Zooba: Free-for-all Zoo Combat Battle Royale Games,Wildlife Studios,Akcja,906232,Zainstaluj,4.1,1270,3
Jedźmy! — Autobus szkolny Baby Pandy,BabyBus,Edukacyjne,167628,Zainstaluj,4.3,2051,3
Kick the Buddy,Playgendary,Akcja,3291684,Zainstaluj,4.1,1606,12
Tank Stars,Playgendary Limited,Zręcznościowe,1523591,Zainstaluj,4.1,820,7
Carrom Pool: Disc Game,Miniclip.com,Sport,3361952,Zainstaluj,4.2,2233,3
Family Island — przygodowa gra rolna,Melsoft Games Ltd,Rekreacyjne,656414,Zainstaluj,4.3,1719,3
Roblox,Roblox Corporation,Przygodowe,22813310,Zainstaluj,4.4,1678,7
Świat Małej Pandy,BabyBus,Edukacyjne,262464,Zainstaluj,4.3,2907,3
Zombie Catchers 🧟,Deca Games,Akcja,1834618,Zainstaluj,4.4,3106,7
Paint By Number - Darmowa kolorowanka i łamigłówka,Better Life - Color and Draw,Planszowe,1369718,Zainstaluj,4.6,2627,3
Tomb of the Mask,Playgendary Limited,Akcja,1645379,Zainstaluj,4.4,858,3
Farm Heroes Saga,King,Rekreacyjne,9189486,Zainstaluj,4.6,5160,3
Candy Crush Soda Saga,King,Rekreacyjne,8137413,Zainstaluj,4.5,6022,3
Candy Crush Saga,King,Rekreacyjne,31737019,Zainstaluj,4.6,4691,3
Football Strike - Multiplayer Soccer,Miniclip.com,Sport,1981958,Zainstaluj,4.4,2799,3
Homescapes,Playrix,Rekreacyjne,10310157,Zainstaluj,4.3,3530,3
Worms Zone .io – Żarłoczny wąż,CASUAL AZUR GAMES,Akcja,2195961,Zainstaluj,4.3,1336,3
Fishdom,Playrix,Łamigłówki,4977735,Zainstaluj,4.3,2815,3
Gardenscapes,Playrix,Rekreacyjne,10835338,Zainstaluj,4.3,2704,3
Carrom Pool: Disc Game,Miniclip.com,Sport,3361952,Zainstaluj,4.2,2233,3
RAID: Shadow Legends,Plarium Global Ltd,Fabularne,1410343,Zainstaluj,4.2,6170,12
King of Avalon: Dominacja,Century Games Limited,Strategie,964709,Zainstaluj,4.3,2004,7
Pokémon GO,"Niantic, Inc.",Przygodowe,14654386,Zainstaluj,4.1,3145,7
Clockmaker: Match 3 Games! Three in Row Puzzles,BELKA GAMES,Łamigłówki,360240,Zainstaluj,4.2,3031,3
Trials of Mana,"SQUARE ENIX Co.,Ltd.",Fabularne,147,"Kup za 114,99 zł",4.4,6950,12
Brawl Stars,Supercell,Akcja,18710970,Zainstaluj,4.3,3528,7
My Talking Angela 2,Outfit7 Limited,Rekreacyjne,87965,Zainstaluj,4.6,6660,3
Zombie Shooting Game: Zombie Hunter D-Day,Clegames Inc.,Akcja,41819,Zainstaluj,4.3,2499,12
Hungry Shark World,Ubisoft Entertainment,Zręcznościowe,1899901,Zainstaluj,4.5,6154,12
King's Choice,ONEMT,Fabularne,8551,Zainstaluj,4.5,1745,12
Metal Soldiers 3,Play365,Akcja,845,Zainstaluj,4.3,962,12
PickCrafter - Kilof Craft Gra,Fiveamp,Symulacyjne,352741,Zainstaluj,4.4,2290,3
Forge of Empires,InnoGames GmbH,Strategie,991054,Zainstaluj,4.4,1440,3
League of Legends: Wild Rift,"Riot Games, Inc",Strategie,1385980,Zainstaluj,4.2,1911,12
FRAG Pro Shooter,Oh BiBi,Akcja,1201735,Zainstaluj,4.4,3981,12
Empire Warriors: Tower Defense TD Strategy Games,ZITGA,Strategie,117230,Zainstaluj,4.5,2935,7
DRAGON BALL Z DOKKAN BATTLE,BANDAI NAMCO Entertainment Inc.,Akcja,1085870,Zainstaluj,4.4,7503,12
Kingdom: The Blood Pledge,Efun Game Ltd.,Fabularne,7532,Zainstaluj,3.6,5091,16
Magic: The Gathering Arena,Wizards of the Coast LLC,Karciane,40408,Zainstaluj,4.4,3073,12
Clash of Kings : Newly Presented Knight System,Elex Wireless,Strategie,2318125,Zainstaluj,4.1,3149,12
MARVEL Strike Force: Squad RPG,Scopely,Fabularne,566923,Zainstaluj,3.9,2835,12
Dino Bash - Dinosaurs v Cavemen Tower Defense Wars,Tilting Point,Strategie,104118,Zainstaluj,4.6,3049,3
Ping Pong Fury,Yakuto,Sport,16587,Zainstaluj,4.4,2711,3
Shadow Fight Arena — PvP Fighting game,Nekki - Action and Fighting Games,Fabularne,526776,Zainstaluj,4.5,7113,12
Lords Mobile: Tower Defense,IGG.COM,Strategie,6798039,Zainstaluj,4.3,2071,7
Boxing Star,FourThirtyThree Inc.,Sport,751375,Zainstaluj,4.4,3146,7
Home Design Star : Decorate & Vote,CookApps,Symulacyjne,18620,Zainstaluj,4.3,4710,3
Tetris®,N3TWORK Inc.,Łamigłówki,86098,Zainstaluj,4.0,4357,3
Galaxy Attack: Alien Shooter,OneSoft Global PTE. LTD.,Zręcznościowe,2019893,Zainstaluj,4.5,2267,7
Top Eleven 2021: Menedżer Piłkarski,Nordeus,Sport,4837242,Zainstaluj,4.6,3721,3
Kim Kardashian: Hollywood,Glu,Przygodowe,1098044,Zainstaluj,4.3,7570,12
Legends of Runeterra,"Riot Games, Inc",Karciane,496005,Zainstaluj,4.6,3377,7
Aotu World - Hatsune Miku Crossover Event,GaeaMobile,Strategie,3674,Zainstaluj,4.3,6761,12
Game of Sultans,"Mechanist Internet Technologies Co., Ltd.",Fabularne,572155,Zainstaluj,4.5,2416,7
Looney Tunes™ World of Mayhem - Action RPG,Scopely,Fabularne,277054,Zainstaluj,4.3,5589,7
Dragon Cape Przygoda,Century Games Pte. Ltd.,Symulacyjne,221476,Zainstaluj,4.8,1158,3
Unholy Adventure: gra przygodowa point and click,Dali Games: adventure games,Przygodowe,6005,Zainstaluj,4.8,2516,7
Love Live! School idol festival - Gra Rytmiczna,KLab,Muzyka,168183,Zainstaluj,4.3,2125,3
A BITE OF TOWN,DOCOOL LIMITED,Symulacyjne,4053,Zainstaluj,4.5,6956,3
WinWing: Space Shooter,IVYGAMES,Zręcznościowe,36412,Zainstaluj,4.4,4324,3
The Elder Scrolls: Blades,Bethesda Softworks LLC,Fabularne,106650,Zainstaluj,4.0,1201,16
Sniper Arena: shooter PvP,Nordcurrent,Akcja,482116,Zainstaluj,4.1,1572,16
Penny & Flo: Finding Home,Tactile Games,Łamigłówki,182310,Zainstaluj,4.6,3114,3
Solitaire Grand Harvest - Free Tripeaks Solitaire,Supertreat - A Playtika Studio,Karciane,936673,Zainstaluj,4.6,2970,3
Brawl Stars,Supercell,Akcja,18711025,Zainstaluj,4.3,3528,7
Toca Life World: Build stories & create your world,Toca Boca,Edukacyjne,2021613,Zainstaluj,4.4,5754,3
Among Us,Innersloth LLC,Akcja,12226192,Zainstaluj,3.6,731,7
Call of Duty®: Mobile - Season 5: In Deep Water,"Activision Publishing, Inc.",Akcja,13771412,Zainstaluj,4.4,5948,16
Dream League Soccer 2021,First Touch Games Ltd.,Sport,3479066,Zainstaluj,4.4,5789,3
Harry Potter: Hogwarts Mystery,"Jam City, Inc.",Przygodowe,2304128,Zainstaluj,4.5,3587,7
Mini Football,Miniclip.com,Sport,345916,Zainstaluj,4.2,3999,3
AFK Arena,LilithGames,Fabularne,3172705,Zainstaluj,4.6,687,7
Guardian Tales,Kakao Games Corp.,Fabularne,397916,Zainstaluj,4.6,4933,7
Garena Free Fire - Rampage,GARENA INTERNATIONAL I PRIVATE LIMITED,Akcja,91107851,Zainstaluj,4.2,3191,12
RFS - Real Flight Simulator,RORTOS,Symulacyjne,110611,"Kup za 2,99 zł",4.2,8263,3
Idle Police Tycoon - Cops Game,Codigames,Symulacyjne,150378,Zainstaluj,4.4,5438,3
Battle Night: Cyberpunk-Idle RPG,FT Games,Fabularne,54757,Zainstaluj,4.4,3065,12
Harry Potter: Zagadki i magia,Zynga,Łamigłówki,594995,Zainstaluj,4.7,3555,3
Art of War: Legions,Fastone Games HK,Strategie,795789,Zainstaluj,4.4,2410,3
Archero,Habby,Akcja,1563896,Zainstaluj,4.3,2092,7
Ninja’s Creed: 3D Sniper Shooting Assassin Game,707 INTERACTIVE: Fun Epic Casual Games,Akcja,303851,Zainstaluj,4.4,3552,16
Atlantis Odyssey,VIZOR APPS LTD.,Symulacyjne,103230,Zainstaluj,4.5,688,3
MythWars & Puzzles: RPG Match 3,KARMA GAME,Fabularne,150242,Zainstaluj,4.3,1551,7
Stardew Valley,Chucklefish Limited,Fabularne,96123,"Kup za 21,99 zł",4.7,4858,12
Game Dev Tycoon,Greenheart Games,Symulacyjne,97458,"Kup za 23,99 zł",4.8,1666,3
Idle Arks: Build at Sea,BHome,Rekreacyjne,876981,Zainstaluj,4.3,4576,3
Monopoly - Board game classic about real-estate!,Marmalade Game Studio,Planszowe,71470,"Kup za 19,99 zł",4.3,7434,3
Hunting Clash: Gra myśliwska. Symulator polowania,Ten Square Games,Symulacyjne,159476,Zainstaluj,4.5,3950,16
Human: Fall Flat,505 Games Srl,Łamigłówki,18935,"Kup za 28,99 zł",4.2,1741,3
The Seven Deadly Sins: Grand Cross,Netmarble,Fabularne,505514,Zainstaluj,4.3,4699,12
Zooba: Free-for-all Zoo Combat Battle Royale Games,Wildlife Studios,Akcja,906233,Zainstaluj,4.1,1270,3
State of Survival: The Walking Dead Collaboration,KingsGroup Holdings,Strategie,1878278,Zainstaluj,4.4,1760,12
Solitaire Cruise: Classic Tripeaks Cards Games,BELKA GAMES,Karciane,117268,Zainstaluj,4.3,4027,3
Manor Matters,Playrix,Przygodowe,429432,Zainstaluj,4.4,1988,7
Rise of Empires: Ice and Fire,Long Tech Network Limited,Strategie,1082739,Zainstaluj,4.7,4002,12
Zombie Idle Defense,ONESOFT,Zręcznościowe,227555,Zainstaluj,4.4,2630,12
F1 Clash,Hutch Games,Wyścigi,581402,Zainstaluj,4.1,3812,3
Train Station 2: Symulator Strategii Kolejowej,Pixel Federation Games,Strategie,329297,Zainstaluj,4.5,2817,3
GRID™ Autosport,Feral Interactive,Wyścigi,12959,"Kup za 47,99 zł",4.4,5795,3
Top War: Battle Game,Topwar Studio,Strategie,459422,Zainstaluj,4.4,867,7
Idle Courier Tycoon - Manager Firmy 3D,Century Games Pte. Ltd.,Rekreacyjne,109308,Zainstaluj,4.4,1143,3
Bloons TD 6,ninja kiwi,Strategie,238854,"Kup za 23,99 zł",4.8,5681,3
Frontier Justice - Powrót na Dziki Zachód,ONEMT,Strategie,48393,Zainstaluj,4.2,2184,16
RAID: Shadow Legends,Plarium Global Ltd,Fabularne,1410343,Zainstaluj,4.2,6170,12
PUBG MOBILE 1.5: IGNITION,PROXIMA BETA,Akcja,38079863,Zainstaluj,4.3,5106,16
Genshin Impact,miHoYo Limited,Przygodowe,1771247,Zainstaluj,4.6,6179,12
Grand Hotel Mania - Hotel Games. Idle Hotel Tycoon,DeusCraft,Przygodowe,124396,Zainstaluj,4.3,3907,3
9 Months,Green Panda Games,Symulacyjne,268594,Zainstaluj,4.4,1789,3
Lily’s Garden,Tactile Games,Łamigłówki,1098902,Zainstaluj,4.6,6976,3
Kitten Match,Strategy Gamez,Łamigłówki,389219,Zainstaluj,4.7,2026,3
Family Island — przygodowa gra rolna,Melsoft Games Ltd,Rekreacyjne,656412,Zainstaluj,4.3,1719,3
Bullet Echo,ZeptoLab,Fabularne,273468,Zainstaluj,4.3,2185,12
Matchington Mansion,"Magic Tavern, Inc.",Łamigłówki,1987272,Zainstaluj,4.4,3366,3
Puzzles & Survival,37GAMES,Strategie,150177,Zainstaluj,4.3,1631,12
Lep's World,nerByte GmbH,Zręcznościowe,1098998,Zainstaluj,4.4,3738,12
Mekorama,Martin Magni,Łamigłówki,379884,Zainstaluj,4.3,361,3
Warcaby,Chess & Checkers Games,Planszowe,966399,Zainstaluj,4.4,3717,7
Pou,Zakeh Ltd,Rekreacyjne,11559199,Zainstaluj,4.3,523,3
Labirynty i więcej,Leo De Sol Games,Łamigłówki,616971,Zainstaluj,4.2,2307,3
Flow Free,Big Duck Games LLC,Łamigłówki,1465907,Zainstaluj,4.4,1516,3
Szachy,Chess Prince,Planszowe,1613302,Zainstaluj,4.3,1987,3
Air Hockey Wyzwanie,mobirix,Sport,162718,Zainstaluj,4.1,631,3
sand:box,SmellyMoo,Rekreacyjne,424240,Zainstaluj,4.4,626,3
Sky Fighters 3D,Doodle Mobile Ltd.,Akcja,363960,Zainstaluj,4.3,1266,7
Green Farm 3,Gameloft SE,Rekreacyjne,930358,Zainstaluj,4.1,3516,3
Pool Billiards Pro,TerranDroid,Sport,1479256,Zainstaluj,4.3,3798,12
Word Search,Quarzo Apps,Słowne,163865,Zainstaluj,4.2,2248,3
Little Big City 2,Gameloft SE,Rekreacyjne,444175,Zainstaluj,4.0,3648,3
Exploration Lite Craft,CanaryDroid,Akcja,335611,Zainstaluj,4.0,1608,7
Dr. Driving,SUD Inc.,Wyścigi,6107775,Zainstaluj,4.2,272,12
Candy Bomb,Cosmo Game,Rekreacyjne,10413,Zainstaluj,4.0,1823,3
Nonstop Balls,ThinkCube Inc.,Zręcznościowe,30829,Zainstaluj,3.5,1007,12
My Talking Tom Friends,Outfit7 Limited,Rekreacyjne,2052873,Zainstaluj,4.3,5887,3
Cooking Fever,Nordcurrent,Zręcznościowe,4608451,Zainstaluj,4.3,1398,3
